bairro,Homens/2022,Mulheres/2022,Razao de sexos/2022
Saúde,799,844,94
Gamboa,5399,6017,89
Santo Cristo,4650,5286,87
Caju,11474,12589,91
Centro,10884,12677,85
Catumbi,5572,6629,84
Rio Comprido,18103,21745,83
Cidade Nova,2227,2518,88
Estácio,10461,12788,81
Imperial de São Cristóvão,12064,13844,87
Mangueira,8324,10046,82
Benfica,9913,11047,89
Paquetá,1629,1857,87
Santa Teresa,16945,19251,88
Flamengo,18341,24757,74
Glória,3034,4086,74
Laranjeiras,17550,22142,79
Catete,9910,12385,80
Cosme Velho,3035,3373,89
Botafogo,34367,42625,80
Humaitá,5630,7414,75
Urca,2376,2839,83
Leme,5546,6933,79
Copacabana,56054,72823,76
Ipanema,16930,20462,82
Leblon,16704,21005,79
Lagoa,8639,10037,86
Jardim Botânico,7105,8766,81
Gávea,6278,7898,79
Vidigal,7307,7805,93
São Conrado,4556,5183,87
Praça da Bandeira,3159,4056,77
Tijuca,62108,79981,77
Alto da Boa Vista,4748,5064,93
Maracanã,10448,13050,80
Vila Isabel,28923,36867,78
Andaraí,15365,19211,79
Grajaú,14486,18330,79
Manguinhos,13617,15238,89
Bonsucesso,7691,9181,83
Ramos,15601,18852,82
Olaria,22952,28270,81Jacare
Penha,26586,31930,83
Penha Circular,16725,20000,83
Brás de Pina,17310,20456,84
Cordovil,14857,17597,84
Parada de Lucas,9203,10467,87
Vigário Geral,15912,18290,87
Jardim América,9466,11221,84
Higienópolis,6479,7748,83
Jacaré,3796,4402,86
Maria da Graça,3314,3895,85
Del Castilho,9613,10984,87
Inhaúma,17150,20083,85
Engenho da Rainha,10920,13268,82
Tomás Coelho,9362,10981,85
São Francisco Xavier,2942,3398,86
Rocha,7317,8583,85
Riachuelo,4585,5820,78
Sampaio,4110,4722,87
Engenho Novo,17555,20937,83
Lins de Vasconcelos,14005,17076,82
Méier,16910,22790,74
Todos os Santos,10014,12579,79
Cachambi,17209,21464,80
Engenho de Dentro,19479,23696,82
Água Santa,2935,3440,85
Encantado,5654,6751,83
Piedade,17741,20971,84
Abolição,4058,5138,78
Pilares,10516,13002,80
Vila Kosmos,6623,8255,80
Vicente de Carvalho,9870,11430,86
Vila da Penha,10311,13025,79
Vista Alegre,7612,9204,82
Irajá,38612,47294,81
Colégio,12462,14378,86
Campinho,3867,4712,82
Quintino Bocaiúva,11152,13588,82
Cavalcanti,6683,7116,93
Engenheiro Leal,2476,2724,90
Cascadura,12361,14534,85
Madureira,18199,21513,84
Vaz Lobo,5021,5974,84
Turiaçú,5290,6323,83
Rocha Miranda,16587,19773,83
Honório Gurgel,8289,9924,83
Osvaldo Cruz,13607,16388,83
Bento Ribeiro,16755,20551,81
Marechal Hermes,19002,22505,84
Ribeira,1572,1900,82
Zumbi,832,985,84
Cacuia,4800,5592,85
Pitangueiras,4682,5560,84
Praia da Bandeira,2360,2793,84
Cocotá,2277,2744,82
Bancários,5114,5948,85
Freguesia (Ilha),7460,8440,88
Jardim Guanabara,12508,14576,85
Jardim Carioca,9505,10869,87
Tauá,12175,14307,85
Moneró,2533,3190,79
Portuguesa,8869,10962,80
Galeão,9861,10955,90
Cidade Universitária,630,673,93
Guadalupe,18714,22322,83
Anchieta,24212,27883,86
Parque Anchieta,10082,11751,85
Ricardo de Albuquerque,12945,14759,87
Coelho Neto,12260,14520,84
Acari,13962,15711,88
Barros Filho,9633,10811,89
Costa Barros,12320,13952,88
Pavuna,43571,51761,84
Jacarepaguá,84200,91650,91
Anil,14713,17178,85
Gardênia Azul,9797,10693,91
Cidade de Deus,14122,16179,87
Curicica,13611,15427,88
Freguesia (Jacarepaguá),33827,40893,82
Pechincha,17617,21343,82
Taquara,48930,58497,83
Tanque,16798,19879,84
Praça Seca,28978,34304,84
Vila Valqueire,15557,18467,84
Joá,493,490,100
Itanhangá,32834,35012,93
Barra da Tijuca,65970,76265,86
Camorim,628,644,97
Vargem Pequena,14625,15803,92
Vargem Grande,10405,10945,95
Recreio dos Bandeirantes,67122,74191,90
Grumari,97,87,111
Deodoro,4836,5566,86
Vila Militar,6067,6889,88
Campo dos Afonsos,1045,1061,98
Jardim Sulacap,6706,7690,87
Magalhães Bastos,9640,11298,85
Realengo,76701,89124,86
Padre Miguel,28946,32308,89
Bangu,97863,111466,87
Senador Camará,47424,54556,86
Santíssimo,22895,25171,90
Campo Grande,164814,187712,87
Senador Vasconcelos,15529,17357,89
Inhoaíba,34433,37708,91
Cosmos,45081,50403,89
Paciência,49661,55208,89
Santa Cruz,118273,130781,90
Sepetiba,27908,30782,90
Guaratiba,74222,79829,92
Barra de Guaratiba,2373,2382,99
Pedra de Guaratiba,5656,6269,90
Rocinha,34821,36073,96
Jacarezinho,16855,18493,91
Complexo do Alemão,25552,28650,89
Maré,59561,65269,91
Vasco da Gama,6851,7725,88
Parque Colúmbia,3898,4324,90
Gericinó,1266,1305,97
Lapa,4239,4814,88
Vila Kennedy,9872,11707,84
Jabour,2378,2909,81
Ilha de Guaratiba,3049,3050,99
Barra Olímpica,26488,30167,87
Argentino,336,416,80
